disease,drug_classes,first_line_drugs,second_line_drugs,avoid_drugs,notes,source,severity_level
oppositional disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
migraine,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
diabetic peripheral neuropathy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
testicular disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gestational diabetes,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hidradenitis suppurativa,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
valley fever,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
conjunctivitis due to bacteria,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lewy body dementia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
multiple myeloma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
head injury,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ascending cholangitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
idiopathic irregular menstrual cycle,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
interstitial lung disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
mononeuritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
malaria,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
somatization disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypovolemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
schizophrenia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
knee ligament or meniscus tear,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
endocarditis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sepsis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
heat stroke,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cholecystitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cardiac arrest,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cardiomyopathy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
social phobia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
meningitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
spherocytosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hormone disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
raynaud disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
reactive arthritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
scabies,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ear wax impaction,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypertension of pregnancy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
peripheral arterial embolism,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
rosacea,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the skull,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
uveitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the facial bones,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tracheitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
jaw disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
perirectal infection,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
breast cyst,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
post-traumatic stress disorder (ptsd),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
kidney cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vulvar cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
blepharitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
celiac disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cystitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sickle cell anemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
subconjunctival hemorrhage,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hemorrhoids,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
contact dermatitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sinus bradycardia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
high blood pressure,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pelvic inflammatory disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
liver disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chronic constipation,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
thyroid cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
flu,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
friedrich ataxia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tic (movement) disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
skin polyp,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
brachial neuritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cervical cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
adrenal adenoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
esophagitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gas gangrene,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
yeast infection,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
spina bifida,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
drug poisoning due to medication,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
alcoholic liver disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
malignant hypertension,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
diverticulitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
moyamoya disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
heat exhaustion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
psychotic disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
frostbite,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
atrophy of the corpus cavernosum,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
smoking or tobacco addiction,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sprain or strain,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
essential tremor,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the ear,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
foreign body in the nose,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
idiopathic painful menstruation,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
down syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
idiopathic infrequent menstruation,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pneumothorax,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
de quervain disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the vertebra,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
human immunodeficiency virus infection (hiv),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
mumps,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
subarachnoid hemorrhage,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acute fatty liver of pregnancy (aflp),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ectropion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
scar,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lactose intolerance,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
eustachian tube dysfunction (ear disorder),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
appendicitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
graves disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dissociative disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the face,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dislocation of the vertebra,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
phimosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hyperemesis gravidarum,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pregnancy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
thalassemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
placenta previa,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
epidural hemorrhage,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
septic arthritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
athlete's foot,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pleural effusion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
aphakia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vulvar disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sialoadenitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gynecomastia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
urinary tract infection,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
histoplasmosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
erythema multiforme,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
scoliosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
bunion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
arrhythmia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
trigeminal neuralgia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ankylosing spondylitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
peripheral nerve disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sebaceous cyst,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
poisoning due to antipsychotics,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
neurosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
prostate cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cerebral edema,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dislocation of the finger,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
birth trauma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chronic pancreatitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hematoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
carcinoid syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the head,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
seborrheic keratosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
burn,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
spontaneous abortion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
genital herpes,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
adjustment reaction,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
gallstone,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
multiple sclerosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
zenker diverticulum,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the pelvis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pneumoconiosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hyperlipidemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ulcerative colitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
male genitalia infection,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hpv,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
angina,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
injury to the spinal cord,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
nasal polyp,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lichen simplex,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
trichiasis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acariasis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
colorectal cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
skin pigmentation disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
factitious disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lymphogranuloma venereum,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
galactorrhea of unknown cause,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
g6pd enzyme deficiency,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
nerve impingement near the shoulder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
toxoplasmosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fibroadenoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the hand,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
missed abortion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
diabetic ketoacidosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
granuloma inguinale,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
obsessive compulsive disorder (ocd),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
injury of the ankle,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hyponatremia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
stricture of the esophagus,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the ankle,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
soft tissue sarcoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
bone disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
epilepsy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
